ID	MeanDecreaseAccuracy	MeanDecreaseGini
AEROBACTINSYN-PWY	0.016840906	2.969582823
FAO-PWY	0.003716702	0.940695699
PWY-922	0.003574077	1.453711842
PWY-6471	0.003512083	1.194391122
PWY-5347	0.003212849	0.790657159
PWY-5136	0.003102535	0.82762109
PWY0-781	0.002441654	0.791226494
NAD-BIOSYNTHESIS-II	0.002431488	0.664814199
PWY-7199	0.002334212	0.95356766
PWY-6318	0.002157453	0.857244842
PWY-5121	0.002145363	0.873246093
DTDPRHAMSYN-PWY	0.002096679	0.81329069
ARO-PWY	0.00205491	0.678269066
COMPLETE-ARO-PWY	0.001829663	0.702059663
P108-PWY	0.001693822	0.651800122
PWY0-1297	0.001669392	0.491687272
DAPLYSINESYN-PWY	0.001634486	0.285384182
P4-PWY	0.001603197	0.690014897
PWY-2941	0.001586714	0.62368448
PWY-6284	0.001499367	0.508339368
MET-SAM-PWY	0.001491477	0.256001218
PWY-5104	0.001395916	0.748396599
PWY-5173	0.001324761	0.54622502
PYRIDNUCSAL-PWY	0.001281633	0.436575141
P42-PWY	0.001273588	0.799530111
PWY-841	0.001251457	0.341895967
PWY-7323	0.001125319	0.594615173
REDCITCYC	0.001067144	0.300122303
PWY-5676	0.001041611	0.262886897
PWY-6385	0.000993935	0.394827515
PWY-821	0.000895184	0.532580492
GLUCARDEG-PWY	0.000889935	0.469217595
GLYCOGENSYNTH-PWY	0.00087357	0.416845195
P161-PWY	0.000844671	0.644129992
PWY0-1319	0.000822857	0.274696896
UBISYN-PWY	0.000818675	0.247071569
PWY-6628	0.000818319	0.37795199
PWY-6305	0.000787483	0.320847826
HOMOSER-METSYN-PWY	0.000786318	0.41559302
METSYN-PWY	0.000777881	0.395861293
PWY-7197	0.000775357	0.223536552
CALVIN-PWY	0.000767553	0.258136286
CITRULBIO-PWY	0.000749319	0.293037704
PWY-6163	0.0007241	0.56454822
PWY-5005	0.000708931	0.359899728
PWY-5367	0.000677384	0.322698998
NONOXIPENT-PWY	0.000671876	0.259861487
PWY-5345	0.000662091	0.136720024
PWY-5177	0.000639387	0.254212305
PANTOSYN-PWY	0.000616148	0.223321544
PWY-7242	0.000605646	0.210219093
P105-PWY	0.000599855	0.186984499
PWY-6606	0.000579221	0.218564609
PWY-4702	0.000552575	0.207263891
PWY-5861	0.000536802	0.070972716
PWY-6317	0.000533564	0.201572062
PWY-4984	0.000531377	0.386141919
PWY-6527	0.000522263	0.303882515
POLYAMSYN-PWY	0.000514356	0.325612691
PWY3O-19	0.000499718	0.141613463
PWY-7392	0.000485543	0.297560211
LACTOSECAT-PWY	0.000478781	0.436497853
PWY-7371	0.000440778	0.234540778
COA-PWY-1	0.000434918	0.223627877
PWY-6891	0.000427783	0.154310687
GOLPDLCAT-PWY	0.000426338	0.279863609
FUC-RHAMCAT-PWY	0.000424285	0.141296975
HEXITOLDEGSUPER-PWY	0.000422697	0.226144308
PWY-5667	0.000418322	0.272244244
PANTO-PWY	0.000411725	0.083202441
PWY0-1296	0.000409821	0.318624226
KETOGLUCONMET-PWY	0.000388222	0.114198473
PWY66-422	0.000384882	0.310107723
PWY-7196	0.000383141	0.25076135
PWY-7383	0.000380701	0.307687442
PWY-6609	0.000378645	0.317562938
PWY-6895	0.000377628	0.123393221
PWY4FS-7	0.000362193	0.209609178
PWY-7279	0.000357704	0.129312938
PWY-6612	0.000356698	0.111077084
PWY-5464	0.000345502	0.21321952
PWY-6608	0.00032607	0.098822622
FOLSYN-PWY	0.000313061	0.170951298
PWY-7400	0.000310651	0.110457943
PWY-7220	0.000310267	0.190175301
PWY-241	0.000306861	0.275523035
PWY-7115	0.000304041	0.214770116
PWY-6507	0.000297222	0.169332063
PWY-5304	0.000293714	0.28478116
PWY-1042	0.000289825	0.12295394
PWY-7357	0.000285456	0.156301235
PWY-6588	0.000279886	0.21073721
PWY-7204	0.000279848	0.168133506
PWY-7254	0.000274784	0.066541987
PWY-4242	0.000266537	0.154592692
PWY-6859	0.000260723	0.07329236
THRESYN-PWY	0.000259886	0.196283994
PWY-5690	0.000259264	0.161134643
PWY0-321	0.000254302	0.087148981
PWY4LZ-257	0.0002536	0.110690465
HSERMETANA-PWY	0.000252797	0.13842013
PWY-7184	0.000251496	0.131795007
PWY-5747	0.000249445	0.100198013
GALACTARDEG-PWY	0.000242096	0.116353424
PWY0-1261	0.000223969	0.076392582
GLYCOLYSIS-E-D	0.000221396	0.108679669
GLUTORN-PWY	0.000216996	0.057859682
PWY-5837	0.000213115	0.019811953
PWY66-409	0.000212545	0.109835403
PWY-7111	0.000211642	0.133319802
COA-PWY	0.000211048	0.354238536
PWY-5896	0.000209304	0.097599087
PWY-6122	0.000208969	0.135587432
PWY66-398	0.000205419	0.293204067
PWY0-1338	0.000201864	0.039756697
PWY0-845	0.000197962	0.188930735
PRPP-PWY	0.000195618	0.138687918
PWY-6387	0.000195259	0.124052084
TCA	0.000193885	0.075495538
P164-PWY	0.000184748	0.108405574
P122-PWY	0.000181596	0.052579351
POLYAMINSYN3-PWY	0.000181578	0.107419195
FUCCAT-PWY	0.000177877	0.060451327
PWY-5103	0.000174511	0.169687785
PWY-5415	0.000171499	0.094420621
PWY-6737	0.000170693	0.390110154
ALL-CHORISMATE-PWY	0.000169405	0.259363122
THISYNARA-PWY	0.000169214	0.136251661
PWY-5857	0.00016507	0.117514268
PWY-6386	0.0001638	0.106082115
1CMET2-PWY	0.000163146	0.048756804
RHAMCAT-PWY	0.00016218	0.13389002
PWY-5695	0.000154043	0.074440896
PWY0-1298	0.000151543	0.093358324
PPGPPMET-PWY	0.000150458	0.053945662
PWY-7560	0.000148348	0.167384611
PWY-5856	0.00014736	0.094787897
PWY-5791	0.000143495	0.056613627
PHOSLIPSYN-PWY	0.000141142	0.239822792
AST-PWY	0.000140521	0.038280811
PWY-6124	0.00014004	0.109813476
PWY-6630	0.000138352	0.082656861
PWY-3001	0.000133816	0.109050702
UDPNAGSYN-PWY	0.000125301	0.104136035
PWY-5101	0.000124213	0.140506035
HISTSYN-PWY	0.000123287	0.179272547
3-HYDROXYPHENYLACETATE-DEGRADATION-PWY	0.000123058	0.019356489
ARGSYN-PWY	0.000120789	0.054565522
PWY-5189	0.000119214	0.058250473
BRANCHED-CHAIN-AA-SYN-PWY	0.000117577	0.151650487
P162-PWY	0.000116141	0.241461747
PWY-1269	0.000114408	0.187104742
PWY-7013	0.000110269	0.135702016
BIOTIN-BIOSYNTHESIS-PWY	0.000109868	0.052696451
ANAEROFRUCAT-PWY	0.00010831	0.067804398
PWY-6126	0.000107062	0.085086113
